DAuid,DApop_2016,DAtdwell_2016,DAurdwell_2016,DAarea,CSDcode
35061599,438,148,145,0.0607,008
35061601,650,211,211,0.0833,008
35061602,509,340,288,0.0625,008
35061604,692,333,314,0.0715,008
35061605,910,594,477,0.2614,008
35061607,602,319,266,0.1019,008
35061608,520,266,250,0.1691,008
35061610,411,218,199,0.1336,008
35061611,387,178,164,0.0944,008
35061613,705,381,351,0.4024,008
35061614,512,187,177,0.1157,008
35061616,723,373,346,0.1967,008
35061621,464,217,196,0.122,008
35061622,690,368,334,0.1549,008
35061623,501,205,197,0.1041,008
35061627,517,228,211,0.1861,008
35061628,540,211,206,0.1119,008
35061633,575,221,213,0.5706,008
35061634,388,156,147,0.2072,008
35061638,580,259,254,0.2136,008
35061639,934,573,466,0.2284,008
35061640,552,268,248,0.3459,008
35061643,393,175,166,0.3912,008
35061645,667,328,299,0.1546,008
35061646,520,175,165,0.1795,008
35061651,680,149,141,0.0564,008
35061653,542,291,257,0.0616,008
35061654,563,253,228,0.0772,008
35061657,681,285,265,3.3346,008
35061658,682,309,292,0.1914,008
35061659,1436,552,538,2.363,008
35061660,505,155,155,0.1253,008
35061661,641,225,225,0.1839,008
35061662,1591,479,474,0.7326,008
35061663,1431,480,479,0.2682,008
35061664,396,143,142,0.4024,008
35061667,280,136,132,1.381,008
35061668,774,297,282,0.6122,008
35061670,455,123,118,0.7026,008
35061671,714,222,219,0.1168,008
35061672,535,152,148,0.0851,008
35061673,741,233,230,0.141,008
35061674,513,154,154,0.0975,008
35061677,16747,5593,5440,13.9032,008
35061679,715,236,228,3.4419,008
35061680,828,297,281,59.5327,008
35061683,420,141,128,0.0796,008
35061690,739,256,245,0.4179,008
35061691,478,178,177,0.1097,008
35061692,529,180,178,0.2359,008
35061693,576,212,206,0.1862,008
35061695,473,192,187,0.1448,008
35061696,472,187,179,0.191,008
35061699,531,237,219,0.3207,008
35061700,509,234,211,0.3076,008
